ID,Type,Name,,Start Date,End Date,Time Zone,Is Closed?,Visible In Portal?,Featured?,Description,Location,Capacity,Created Date
000001,Conference,2020 Spring Broker Bootcamp,,2020-02-05 00:00:00,2020-02-07 00:00:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000002,Optional Event,2006 SC,,2006-04-23 00:00:00,2008-04-27 00:00:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000003,Chapter Networking,Northeast Ohio Fall Social,,2015-09-01 00:00:00,2015-09-01 00:00:00,,No,No,No,,Punchbowl Social,0,2026-02-11 20:11:10.630000
000004,Chapter Networking,Chapter Meeting,,2020-11-18 00:00:00,2020-11-18 00:00:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000005,Chapter Networking,Service Day - Honoring Frontline Workers,,2021-05-06 10:30:00,2021-05-06 14:00:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000006,Committee/Member Group Meeting,Nominating Committee,,2019-04-10 09:00:00,2019-04-10 17:00:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000007,Chapter Networking,Monthly Lunch,,2019-11-13 00:00:00,2019-11-13 00:00:00,,No,No,No,,Maggiano's @ Fashion Mall,0,2026-02-11 20:11:10.630000
000008,Chapter Networking,A Conversation with Ian Grusd & Kevin Spellacy of Ten-X,,2020-06-10 16:00:00,2020-06-10 17:00:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000009,Chapter Networking,Happy Hour,,2020-10-01 12:00:00,2020-10-01 13:00:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000010,Optional Event,Hilton Garden Inn Room and Tax,,1900-01-01 00:00:00,1900-01-01 00:00:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000011,Networking,IBG Party,,2025-05-07 19:00:00,2025-05-07 21:00:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000012,Committee/Member Group Meeting,Professional Standards Committee,,2026-04-14 16:00:00,2026-04-14 17:00:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000013,Chapter Networking,Annual Kickoff,,2020-02-06 18:00:00,2020-02-06 21:00:00,,No,No,No,,Lake Chalet,0,2026-02-11 20:11:10.630000
000014,Chapter Networking,Wine Dinner,,2017-11-08 17:30:00,2017-11-08 20:30:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000015,Optional Event,AC95 - Conversion,,1900-01-01 00:00:00,1900-01-01 00:00:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000016,Optional Event,SC2002 - Helmet Diving,,1900-01-01 00:00:00,1900-01-01 00:00:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000017,Committee/Member Group Meeting,Education Task Force Meeting,,2017-04-27 11:30:00,2017-04-27 13:00:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000018,Chapter Networking,Holiday Party,,2019-12-04 00:00:00,2019-12-04 00:00:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000019,Chapter Networking,Happy Hour,,2015-02-10 17:30:00,2015-02-10 19:30:00,,No,No,No,,Pappas Steakhouse,0,2026-02-11 20:11:10.630000
000020,Optional Event,,,2023-04-14 00:00:00,2023-04-15 00:00:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000021,Networking,New Member Breakfast,,2025-05-07 08:00:00,2025-05-07 09:15:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000022,Optional Event,Embassy Tour,,1900-01-01 00:00:00,1900-01-01 00:00:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000023,Chapter Networking,Scannel Event,,2019-07-17 15:00:00,2019-07-17 17:00:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000024,Chapter Networking,Sponsor Appreciation,,2018-06-25 00:00:00,2018-06-25 00:00:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000025,Committee/Member Group Meeting,Legacy Member Group,,2020-10-21 14:30:00,2020-10-21 15:45:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000026,Chapter Networking,Chapter Meeting,,2021-06-23 16:00:00,2021-06-23 18:00:00,,No,No,No,,Pine Orchard Yacht & Country Club,0,2026-02-11 20:11:10.630000
000027,Optional Event,Leadership Conference: CLC Breakout - MySIOR,,2016-10-19 14:45:00,2016-10-19 15:45:00,,No,No,No,,"Empire Ballroom West, 2nd Floor / Sheraton New York Times Square Hotel",0,2026-02-11 20:11:10.630000
000028,Chapter Networking,Business Meeting,,2018-11-09 11:30:00,2018-11-09 13:30:00,,No,No,No,,The Grove Store,0,2026-02-11 20:11:10.630000
000029,Conference,FPC2001 - F-1 Racing,,1900-01-01 00:00:00,1900-01-01 00:00:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000030,Education Session,Summer Event,,2018-06-21 00:00:00,2018-06-21 00:00:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000031,Optional Event,Leadership Conference: CLC Breakout - Chapter Programming,,2016-10-19 14:45:00,2016-10-19 15:45:00,,No,No,No,,"Liberty 3, 3rd Floor / Sheraton New York Times Square Hotel",0,2026-02-11 20:11:10.630000
000032,Conference,Industrial Member Group Forum,,2026-04-15 13:45:00,2026-04-15 14:45:00,,No,No,No,,,0,2026-02-11 20:11:10.630000
000033,Chapter Governance,Chapter Meeting,,2018-10-18 11:30:00,2018-10-18 13:30:00,,No,No,No,,Ansley Golf Club,0,2026-02-11 20:11:10.630000
