ID,Topic Code,Topic Code,Entity ID,Record ID,Record Name,Status
0000001,35,Landlord,000001,000001,Member00001,Active
0000002,31,Tenant Representation,000002,000002,Member00002,Active
0000003,36,Corporate Services,000001,000003,Member00003,Active
0000004,32,Distribution & Logistics,000001,000004,Member00004,Active
0000005,33,Brokerage Management,000002,000005,Member00005,Active
0000006,34,Sale/Leasing,000002,000006,Member00006,Active
0000007,30,Investments,000002,000007,Member00007,Active
0000008,36,Corporate Services,000002,000008,Member00008,Active
0000009,37,Consulting,000002,000009,Member00009,Active
0000010,37,Consulting,000001,000010,Member00010,Active
0000011,32,Distribution & Logistics,000002,000011,Member00011,Active
0000012,33,Brokerage Management,000002,000012,Member00012,Active
0000013,34,Sale/Leasing,000002,000013,Member00013,Active
0000014,37,Consulting,000001,000014,Member00014,Active
0000015,32,Distribution & Logistics,000002,000015,Member00015,Active
0000016,30,Investments,000002,000016,Member00016,Active
0000017,36,Corporate Services,000002,000017,Member00017,Active
0000018,33,Brokerage Management,000001,000018,Member00018,Active
0000019,36,Corporate Services,000002,000019,Member00019,Active
0000020,31,Tenant Representation,000002,000020,Member00020,Active
0000021,35,Landlord,000002,000021,Member00021,Active
0000022,35,Landlord,000001,000022,Member00022,Active
0000023,33,Brokerage Management,000002,000023,Member00023,Active
0000024,31,Tenant Representation,000002,000024,Member00024,Active
0000025,37,Consulting,000001,000025,Member00025,Inactive
0000026,32,Distribution & Logistics,000001,000026,Member00026,Active
0000027,31,Tenant Representation,000002,000027,Member00027,Active
0000028,35,Landlord,000002,000028,Member00028,Active
0000029,34,Sale/Leasing,000001,000029,Member00029,Active
0000030,36,Corporate Services,000002,000030,Member00030,Active
0000031,34,Sale/Leasing,000001,000031,Member00031,Active
0000032,30,Investments,000002,000032,Member00032,Active
0000033,35,Landlord,000002,000033,Member00033,Active
0000034,30,Investments,000001,000034,Member00034,Active
0000035,34,Sale/Leasing,000002,000035,Member00035,Active
0000036,36,Corporate Services,000002,000036,Member00036,Active
0000037,32,Distribution & Logistics,000002,000037,Member00037,Active
0000038,34,Sale/Leasing,000001,000038,Member00038,Active
0000039,34,Sale/Leasing,000002,000039,Member00039,Active
0000040,37,Consulting,000002,000040,Member00040,Active
0000041,34,Sale/Leasing,000002,000041,Member00041,Active
0000042,36,Corporate Services,000002,000042,Member00042,Active
0000043,33,Brokerage Management,000002,000043,Member00043,Active
0000044,33,Brokerage Management,000002,000044,Member00044,Active
0000045,30,Investments,000001,000045,Member00045,Active
0000046,31,Tenant Representation,000002,000046,Member00046,Active
0000047,30,Investments,000001,000047,Member00047,Active
0000048,32,Distribution & Logistics,000002,000048,Member00048,Active
0000049,34,Sale/Leasing,000001,000049,Member00049,Active
0000050,37,Consulting,000001,000050,Member00050,Active
0000051,35,Landlord,000001,000051,Member00051,Active
0000052,30,Investments,000002,000052,Member00052,Active
0000053,33,Brokerage Management,000001,000053,Member00053,Active
0000054,33,Brokerage Management,000002,000054,Member00054,Active
0000055,32,Distribution & Logistics,000002,000055,Member00055,Active
0000056,33,Brokerage Management,000001,000056,Member00056,Active
0000057,32,Distribution & Logistics,000001,000057,Member00057,Active
0000058,35,Landlord,000001,000058,Member00058,Active
0000059,35,Landlord,000001,000059,Member00059,Active
0000060,37,Consulting,000002,000060,Member00060,Active
0000061,31,Tenant Representation,000002,000061,Member00061,Active
0000062,31,Tenant Representation,000002,000062,Member00062,Active
0000063,31,Tenant Representation,000002,000063,Member00063,Active
0000064,32,Distribution & Logistics,000002,000064,Member00064,Active
0000065,35,Landlord,000001,000065,Member00065,Active
0000066,36,Corporate Services,000002,000066,Member00066,Active
0000067,30,Investments,000001,000067,Member00067,Active
0000068,37,Consulting,000001,000068,Member00068,Active
0000069,36,Corporate Services,000002,000069,Member00069,Active
0000070,37,Consulting,000001,000070,Member00070,Active
0000071,36,Corporate Services,000001,000071,Member00071,Active
0000072,33,Brokerage Management,000001,000072,Member00072,Active
0000073,31,Tenant Representation,000002,000073,Member00073,Active
0000074,31,Tenant Representation,000001,000074,Member00074,Active
0000075,35,Landlord,000002,000075,Member00075,Active
0000076,37,Consulting,000002,000076,Member00076,Active
0000077,33,Brokerage Management,000002,000077,Member00077,Active
0000078,34,Sale/Leasing,000001,000078,Member00078,Active
0000079,31,Tenant Representation,000001,000079,Member00079,Active
0000080,35,Landlord,000002,000080,Member00080,Active
0000081,31,Tenant Representation,000002,000081,Member00081,Active
0000082,32,Distribution & Logistics,000001,000082,Member00082,Active
0000083,31,Tenant Representation,000001,000083,Member00083,Active
0000084,37,Consulting,000002,000084,Member00084,Active
0000085,36,Corporate Services,000001,000085,Member00085,Active
0000086,32,Distribution & Logistics,000002,000086,Member00086,Active
0000087,35,Landlord,000001,000087,Member00087,Active
0000088,31,Tenant Representation,000001,000088,Member00088,Active
0000089,33,Brokerage Management,000001,000089,Member00089,Active
0000090,31,Tenant Representation,000002,000090,Member00090,Active
0000091,37,Consulting,000001,000091,Member00091,Active
0000092,34,Sale/Leasing,000001,000092,Member00092,Active
0000093,30,Investments,000002,000093,Member00093,Active
0000094,34,Sale/Leasing,000002,000094,Member00094,Active
0000095,35,Landlord,000001,000095,Member00095,Active
0000096,36,Corporate Services,000001,000096,Member00096,Active
0000097,31,Tenant Representation,000001,000097,Member00097,Active
0000098,35,Landlord,000002,000098,Member00098,Active
0000099,32,Distribution & Logistics,000002,000099,Member00099,Active
0000100,33,Brokerage Management,000001,000100,Member00100,Active
0000101,30,Investments,000001,000101,Member00101,Active
0000102,36,Corporate Services,000002,000102,Member00102,Active
0000103,34,Sale/Leasing,000002,000103,Member00103,Active
0000104,33,Brokerage Management,000002,000104,Member00104,Active
0000105,34,Sale/Leasing,000002,000105,Member00105,Active
0000106,35,Landlord,000002,000106,Member00106,Active
0000107,30,Investments,000001,000107,Member00107,Active
0000108,33,Brokerage Management,000001,000108,Member00108,Active
0000109,35,Landlord,000002,000109,Member00109,Active
0000110,34,Sale/Leasing,000002,000110,Member00110,Active
0000111,30,Investments,000001,000111,Member00111,Active
0000112,30,Investments,000002,000112,Member00112,Active
0000113,37,Consulting,000001,000113,Member00113,Active
0000114,36,Corporate Services,000002,000114,Member00114,Active
0000115,33,Brokerage Management,000001,000115,Member00115,Active
0000116,36,Corporate Services,000002,000116,Member00116,Active
0000117,33,Brokerage Management,000002,000117,Member00117,Active
0000118,37,Consulting,000002,000118,Member00118,Active
0000119,35,Landlord,000002,000119,Member00119,Active
0000120,31,Tenant Representation,000002,000120,Member00120,Active
0000121,32,Distribution & Logistics,000001,000121,Member00121,Active
0000122,32,Distribution & Logistics,000002,000122,Member00122,Active
0000123,34,Sale/Leasing,000001,000123,Member00123,Active
0000124,33,Brokerage Management,000001,000124,Member00124,Active
0000125,32,Distribution & Logistics,000001,000125,Member00125,Active
0000126,32,Distribution & Logistics,000001,000126,Member00126,Active
0000127,35,Landlord,000001,000127,Member00127,Active
0000128,36,Corporate Services,000002,000128,Member00128,Active
0000129,35,Landlord,000002,000129,Member00129,Active
0000130,33,Brokerage Management,000001,000130,Member00130,Active
0000131,37,Consulting,000002,000131,Member00131,Active
0000132,34,Sale/Leasing,000002,000132,Member00132,Active
0000133,32,Distribution & Logistics,000001,000133,Member00133,Active
0000134,31,Tenant Representation,000002,000134,Member00134,Active
0000135,36,Corporate Services,000002,000135,Member00135,Active
0000136,34,Sale/Leasing,000002,000136,Member00136,Active
0000137,30,Investments,000002,000137,Member00137,Active
0000138,30,Investments,000002,000138,Member00138,Active
0000139,36,Corporate Services,000002,000139,Member00139,Active
0000140,31,Tenant Representation,000001,000140,Member00140,Active
0000141,33,Brokerage Management,000001,000141,Member00141,Active
0000142,36,Corporate Services,000001,000142,Member00142,Active
0000143,33,Brokerage Management,000001,000143,Member00143,Active
0000144,30,Investments,000001,000144,Member00144,Active
0000145,32,Distribution & Logistics,000001,000145,Member00145,Active
0000146,31,Tenant Representation,000002,000146,Member00146,Active
0000147,32,Distribution & Logistics,000002,000147,Member00147,Active
0000148,31,Tenant Representation,000002,000148,Member00148,Active
0000149,36,Corporate Services,000002,000149,Member00149,Active
0000150,31,Tenant Representation,000002,000150,Member00150,Active
0000151,35,Landlord,000001,000151,Member00151,Active
0000152,37,Consulting,000001,000152,Member00152,Active
0000153,33,Brokerage Management,000001,000153,Member00153,Active
0000154,31,Tenant Representation,000002,000154,Member00154,Active
0000155,36,Corporate Services,000001,000155,Member00155,Active
0000156,34,Sale/Leasing,000002,000156,Member00156,Active
0000157,34,Sale/Leasing,000002,000157,Member00157,Active
0000158,37,Consulting,000002,000158,Member00158,Active
0000159,37,Consulting,000001,000159,Member00159,Active
0000160,30,Investments,000002,000160,Member00160,Active
0000161,34,Sale/Leasing,000001,000161,Member00161,Active
0000162,36,Corporate Services,000002,000162,Member00162,Active
0000163,33,Brokerage Management,000001,000163,Member00163,Active
0000164,36,Corporate Services,000001,000164,Member00164,Active
0000165,34,Sale/Leasing,000001,000165,Member00165,Active
0000166,37,Consulting,000002,000166,Member00166,Active
